tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
tt0094795,movie,Breaking Loose: Summer City II,Breaking Loose: Summer City II,1988,87,breaking loose summer city ii,3.9,60,01/01/24 18:30,05/01/24
tt0095280,movie,Haunted Summer,Haunted Summer,1988,106,haunted summer,5.8,594,01/01/24 18:30,05/01/24
tt0095433,movie,The Summer of Aviya,Ha-Kayitz Shel Aviya,1988,95,the summer of aviya,7.1,439,01/01/24 18:30,05/01/24
tt0095441,movie,The Cold Summer of 1953,Kholodnoe leto pyatdesyat tretego,1988,101,the cold summer of 1953,7.8,2595,01/01/24 18:30,05/01/24
tt0095920,movie,Summer Temptations,Provocazione,1988,83,summer temptations,4.7,216,01/01/24 18:30,05/01/24
tt0096036,movie,Summer Thefts,Sarikat Sayfeya,1988,102,summer thefts,7.1,139,01/01/24 18:30,05/01/24
tt0096137,movie,Summer,Sommer,1988,105,summer,6.5,21,01/01/24 18:30,05/01/24
tt0096189,movie,A Summer Story,A Summer Story,1988,95,a summer story,7.2,1249,01/01/24 18:30,06/01/24
tt0096190,movie,Summertime Blues,Summertime Blues: Lemon Popsicle VIII,1988,90,summertime blues,4.7,757,01/01/24 18:30,06/01/24
tt0097160,tvMovie,A Day in Summer,A Day in Summer,1989,105,a day in summer,8.4,31,01/01/24 18:30,06/01/24
tt0097765,movie,A Summer to Remember,Ljeto za sjecanje,1990,105,a summer to remember,6.4,55,01/01/24 18:30,06/01/24
tt0098411,movie,Summer Job,Summer Job,1989,92,summer job,4.4,662,01/01/24 18:30,06/01/24
tt0098463,movie,That Summer of White Roses,Djavolji raj,1989,98,that summer of white roses,5.8,178,01/01/24 18:30,06/01/24
tt0098587,movie,Summer of the Colt,El verano del potro,1989,100,summer of the colt,6.2,134,01/01/24 18:30,06/01/24
tt0098623,movie,Warm Summer Rain,Warm Summer Rain,1989,82,warm summer rain,4.9,501,01/01/24 18:30,06/01/24
tt0100277,movie,Summer Night in Town,Nuit d'été en ville,1990,85,summer night in town,6.1,525,01/01/24 18:30,06/01/24
tt0100715,tvMovie,Summer Dreams: The Story of the Beach Boys,Summer Dreams: The Story of the Beach Boys,1990,90,summer dreams the story of the beach boys,6.4,528,01/01/24 18:30,06/01/24
tt0101328,movie,An American Summer,An American Summer,1990,100,an american summer,5.4,289,01/01/24 18:30,06/01/24
tt0101449,movie,Bikini Summer,Bikini Summer,1990,87,bikini summer,3.6,586,01/01/24 18:30,06/01/24
tt0101985,movie,A Brighter Summer Day,Guling jie shaonian sharen shijian,1991,237,a brighter summer day,8.2,13034,01/01/24 18:30,06/01/24
tt0102878,movie,A Sensuous Summer,A Sensuous Summer,1991,80,a sensuous summer,4.2,57,01/01/24 18:30,06/01/24
tt0102907,movie,Summer of the Lion Kings,Shishiohtachi no natsu,1991,107,summer of the lion kings,4.7,11,01/01/24 18:30,06/01/24
tt0103005,tvMovie,The Summer My Father Grew Up,The Summer My Father Grew Up,1991,97,the summer my father grew up,6.2,75,01/01/24 18:30,06/01/24
tt0103813,movie,Bikini Summer II,Bikini Summer II,1992,85,bikini summer ii,3.3,513,01/01/24 18:30,06/01/24
tt0103997,tvMovie,The Comrades of Summer,The Comrades of Summer,1992,90,the comrades of summer,5.9,399,01/01/24 18:30,06/01/24
