,Unnamed: 0_x,tconst,genres,Unnamed: 0_y,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
155,155,tt0069949,Drama,77,movie,One Russian Summer,Fury,1973.0,112.0,one russian summer,5.4,407,01/01/24 16:30,04/01/24
156,156,tt0069949,History,77,movie,One Russian Summer,Fury,1973.0,112.0,one russian summer,5.4,407,01/01/24 16:30,04/01/24
157,157,tt0070748,Drama,78,movie,"Summer Wishes, Winter Dreams","Summer Wishes, Winter Dreams",1973.0,93.0,summer wishes winter dreams,6.4,874,01/01/24 16:30,04/01/24
158,158,tt0070749,Drama,79,tvMovie,A Summer Without Boys,A Summer Without Boys,1973.0,74.0,a summer without boys,7.0,115,01/01/24 16:30,04/01/24
159,159,tt0070749,Romance,79,tvMovie,A Summer Without Boys,A Summer Without Boys,1973.0,74.0,a summer without boys,7.0,115,01/01/24 16:30,04/01/24
160,160,tt0070749,War,79,tvMovie,A Summer Without Boys,A Summer Without Boys,1973.0,74.0,a summer without boys,7.0,115,01/01/24 16:30,04/01/24
161,161,tt0070875,Comedy,80,movie,Temptation in the Summer Wind,Versuchung im Sommerwind,1972.0,81.0,temptation in the summer wind,8.1,26,01/01/24 16:30,04/01/24
162,162,tt0071597,Drama,81,movie,Harrad Summer,Harrad Summer,1974.0,103.0,harrad summer,4.1,133,01/01/24 16:30,04/01/24
163,163,tt0071624,Action,82,movie,Hot Summer in Barefoot County,Hot Summer in Barefoot County,1974.0,90.0,hot summer in barefoot county,3.6,229,01/01/24 16:30,04/01/24
164,164,tt0071624,Comedy,82,movie,Hot Summer in Barefoot County,Hot Summer in Barefoot County,1974.0,90.0,hot summer in barefoot county,3.6,229,01/01/24 16:30,04/01/24
165,165,tt0072173,Comedy,83,movie,Malibu Hot Summer,Malibu Hot Summer,1981.0,90.0,malibu hot summer,2.7,871,01/01/24 16:30,04/01/24
166,166,tt0072173,Romance,83,movie,Malibu Hot Summer,Malibu Hot Summer,1981.0,90.0,malibu hot summer,2.7,871,01/01/24 16:30,04/01/24
167,167,tt0073730,Drama,84,movie,Summer Guests,Sommergäste,1976.0,115.0,summer guests,7.6,69,01/01/24 16:30,04/01/24
168,168,tt0073764,Romance,85,movie,Summer School Teachers,Summer School Teachers,1975.0,85.0,summer school teachers,4.4,335,01/01/24 16:30,04/01/24
169,169,tt0073764,Thriller,85,movie,Summer School Teachers,Summer School Teachers,1975.0,85.0,summer school teachers,4.4,335,01/01/24 16:30,04/01/24
170,170,tt0074459,Drama,86,movie,Echoes of a Summer,Echoes of a Summer,1976.0,99.0,echoes of a summer,6.4,489,01/01/24 16:30,04/01/24
171,171,tt0074790,Comedy,87,movie,Summer with a Cowboy,Léto s kovbojem,1976.0,90.0,summer with a cowboy,6.7,227,01/01/24 16:30,04/01/24
172,172,tt0074790,Romance,87,movie,Summer with a Cowboy,Léto s kovbojem,1976.0,90.0,summer with a cowboy,6.7,227,01/01/24 16:30,04/01/24
173,173,tt0075282,Comedy,88,movie,Summer of Secrets,Summer of Secrets,1976.0,100.0,summer of secrets,5.3,57,01/01/24 16:30,04/01/24
174,174,tt0075282,Mystery,88,movie,Summer of Secrets,Summer of Secrets,1976.0,100.0,summer of secrets,5.3,57,01/01/24 16:30,04/01/24
175,175,tt0075282,Sci-Fi,88,movie,Summer of Secrets,Summer of Secrets,1976.0,100.0,summer of secrets,5.3,57,01/01/24 16:30,04/01/24
